"CASEID" "ASEID" "MCASEID" "dup"
"994" 132402 2 1324 5
"995" 132403 3 1324 5
"996" 132404 4 1324 5
"997" 132405 5 1324 5
"998" 132601 1 1326 2
"999" 132602 2 1326 2
"1000" 132701 1 1327 2
"1001" 132702 2 1327 2
"1002" 132801 1 1328 2
"1003" 132802 2 1328 2
"1004" 133501 1 1335 1
"1005" 133601 1 1336 1
"1006" 134101 1 1341 2
"1007" 134103 3 1341 2
"1008" 134301 1 1343 2
"1009" 134302 2 1343 2
"1010" 135201 1 1352 3
"1011" 135202 2 1352 3
"1012" 135203 3 1352 3
"1013" 135601 1 1356 2
"1014" 135602 2 1356 2
"1015" 135901 1 1359 3
"1016" 135902 2 1359 3
"1017" 135903 3 1359 3
"1018" 136001 1 1360 1
"1019" 136101 1 1361 2
"1020" 136102 2 1361 2
"1021" 136201 1 1362 2
"1022" 136202 2 1362 2
"1023" 136601 1 1366 1
"1024" 137001 1 1370 1
"1025" 137401 1 1374 2
"1026" 137402 2 1374 2
"1027" 137501 1 1375 2
"1028" 137502 2 1375 2
"1029" 137601 1 1376 3
"1030" 137602 2 1376 3
"1031" 137603 3 1376 3
"1032" 137701 1 1377 2
"1033" 137702 2 1377 2
"1034" 137801 1 1378 1
"1035" 138101 1 1381 3
"1036" 138102 2 1381 3
"1037" 138103 3 1381 3
"1038" 138501 1 1385 1
"1039" 138901 1 1389 2
"1040" 138902 2 1389 2
"1041" 139101 1 1391 3
"1042" 139102 2 1391 3
