"CASEID" "ASEID" "Intel_G2" "Intel_G2_SE" "MCASEID" "AFI_G2" "SiblinginSample" "dup"
"319" 37301 1 0.682 0.543 373 17 0 2
"320" 37302 2 1.249 0.543 373 15 0 2
"321" 37401 1 0.58 0.543 374 18 0 3
"322" 37402 2 -0.3 0.543 374 17 0 3
"323" 37403 3 -0.809 0.543 374 17 1 3
"324" 37901 1 0.462 0.555 379 NA 0 3
"325" 37902 2 -1.02 0.543 379 14 0 3
"326" 37903 3 -0.281 0.543 379 15 0 3
"327" 38201 1 0.954 0.555 382 15 0 2
"328" 38202 2 -0.667 0.543 382 14 0 2
"329" 38501 1 -3.201 0.646 385 NA 0 3
"330" 38502 2 -2.359 0.543 385 NA 0 3
"331" 38503 3 -4.577 0.573 385 NA 0 3
"332" 38801 1 -0.637 0.543 388 12.5 0 3
"333" 38802 2 -3.104 0.543 388 15 0 3
"334" 38803 3 0.743 0.543 388 14 0 3
"335" 38901 NA NA NA 389 NA 0 2
"336" 38902 NA NA NA 389 NA 0 2
"337" 39001 1 -1.803 0.587 390 15 0 4
"338" 39002 NA NA NA 390 18 0 4
"339" 39003 NA NA NA 390 18 1 4
"340" 39004 NA NA NA 390 NA 0 4
"341" 39101 1 -1.946 0.543 391 16 0 3
"342" 39102 2 1.029 0.543 391 18 0 3
"343" 39103 3 1.673 0.573 391 14 1 3
"344" 39501 1 -0.013 0.543 395 16 1 2
"345" 39502 2 1.114 0.543 395 20 0 2
"346" 39701 1 -1.396 0.543 397 17 0 4
"347" 39702 2 -0.712 0.543 397 13 0 4
"348" 39703 3 -1.903 0.543 397 16 0 4
"349" 39704 4 -3.305 0.543 397 NA 1 4
"350" 39901 1 2.719 0.543 399 17 0 1
"351" 40001 1 1.799 0.543 400 19 0 1
"352" 40101 1 0.879 0.543 401 20 0 2
"353" 40102 2 -0.485 0.543 401 15 1 2
"354" 40201 1 0.277 0.543 402 16 0 3
"355" 40202 2 -1.39 0.543 402 16 0 3
"356" 40203 3 -4.292 0.543 402 NA 0 3
"357" 40501 1 -0.209 0.543 405 18 0 3
"358" 40502 2 0.548 0.543 405 14 0 3
"359" 40503 3 -0.812 0.543 405 16 0 3
"360" 40701 1 0.826 0.543 407 15 0 2
"361" 40702 2 2.23 0.573 407 NA 0 2
"362" 41401 1 -0.186 0.543 414 16 0 2
"363" 41402 2 0.985 0.543 414 14 0 2
"364" 41601 1 1.03 0.543 416 16 0 4
"365" 41602 2 2.634 0.543 416 17 0 4
"366" 41603 3 0.358 0.543 416 18 0 4
"367" 41604 4 1.745 0.543 416 20 1 4
"368" 41801 1 0.724 0.543 418 17 0 1
"369" 42301 NA NA NA 423 NA 0 2
"370" 42302 NA NA NA 423 NA 0 2
"371" 42501 1 0.817 0.543 425 15.5 0 5
"372" 42502 2 0.68 0.543 425 14.5 1 5
"373" 42503 3 2.064 0.543 425 13.5 0 5
"374" 42504 4 0.641 0.543 425 20 0 5
"375" 42505 5 2.354 0.543 425 NA 0 5
"376" 42701 1 -0.6 0.543 427 16 0 1
"377" 42801 1 2.34 0.543 428 NA 0 2
"378" 42802 2 0.764 0.543 428 13 1 2
"379" 43101 1 0.536 0.543 431 13 0 3
"380" 43102 2 0.584 0.543 431 16 0 3
"381" 43103 3 0.422 0.543 431 17 0 3
"382" 43701 1 1.484 0.543 437 NA 0 3
"383" 43702 2 -0.911 0.543 437 13 0 3
"384" 43703 3 1.431 0.543 437 16 0 3
